Initialized logging script at 2020-10-25-00:05:29
2020-10-25-00:05:35, Temp: 82.4 F, Humidity: 49%
2020-10-25-00:07:51, Temp: 82.4 F, Humidity: 49%
2020-10-25-00:11:52, Temp: 82.4 F, Humidity: 49%
2020-10-25-00:13:53, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:21:56, Temp: 82.4 F, Humidity: 49%
2020-10-25-00:23:56, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:27:58, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:28:58, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:29:59, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:31:59, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:34:00, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:35:01, Temp: 82.4 F, Humidity: 49%
2020-10-25-00:45:04, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:51:06, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:54:07, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:58:09, Temp: 82.4 F, Humidity: 48%
2020-10-25-00:59:09, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:00:10, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:04:11, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:05:12, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:06:12, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:08:13, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:10:13, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:12:14, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:13:15, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:15:15, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:16:16, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:17:16, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:23:18, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:25:19, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:26:19, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:27:20, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:28:20, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:29:20, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:33:22, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:36:23, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:38:24, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:41:25, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:42:25, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:43:26, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:50:28, Temp: 82.4 F, Humidity: 48%
2020-10-25-01:56:30, Temp: 82.4 F, Humidity: 48%
2020-10-25-02:00:32, Temp: 82.4 F, Humidity: 48%
2020-10-25-02:08:35, Temp: 82.4 F, Humidity: 47%
2020-10-25-02:16:38, Temp: 82.4 F, Humidity: 47%
2020-10-25-02:17:38, Temp: 82.4 F, Humidity: 47%
2020-10-25-02:22:40, Temp: 82.4 F, Humidity: 47%
2020-10-25-02:26:42, Temp: 82.4 F, Humidity: 47%
2020-10-25-02:28:42, Temp: 82.4 F, Humidity: 48%
2020-10-25-02:32:44, Temp: 82.4 F, Humidity: 48%
2020-10-25-02:34:45, Temp: 82.4 F, Humidity: 48%
2020-10-25-02:38:46, Temp: 82.4 F, Humidity: 48%
2020-10-25-02:42:48, Temp: 82.4 F, Humidity: 48%
2020-10-25-02:43:48, Temp: 82.4 F, Humidity: 48%
2020-10-25-02:45:49, Temp: 82.4 F, Humidity: 47%
2020-10-25-02:48:50, Temp: 82.4 F, Humidity: 48%
2020-10-25-02:51:51, Temp: 82.4 F, Humidity: 47%
2020-10-25-02:53:52, Temp: 82.4 F, Humidity: 47%
2020-10-25-02:55:52, Temp: 82.4 F, Humidity: 47%
2020-10-25-02:57:53, Temp: 82.4 F, Humidity: 47%
2020-10-25-03:01:55, Temp: 82.4 F, Humidity: 48%
2020-10-25-03:05:56, Temp: 82.4 F, Humidity: 47%
2020-10-25-03:08:57, Temp: 82.4 F, Humidity: 48%
2020-10-25-03:14:59, Temp: 82.4 F, Humidity: 47%
2020-10-25-03:17:00, Temp: 82.4 F, Humidity: 47%
2020-10-25-03:19:01, Temp: 82.4 F, Humidity: 47%
2020-10-25-03:20:01, Temp: 82.4 F, Humidity: 48%
2020-10-25-03:21:02, Temp: 82.4 F, Humidity: 47%
2020-10-25-03:25:03, Temp: 82.4 F, Humidity: 47%
2020-10-25-03:29:04, Temp: 82.4 F, Humidity: 48%
2020-10-25-03:35:07, Temp: 82.4 F, Humidity: 48%
2020-10-25-03:36:07, Temp: 82.4 F, Humidity: 48%
2020-10-25-03:38:08, Temp: 82.4 F, Humidity: 48%
2020-10-25-03:42:09, Temp: 82.4 F, Humidity: 48%
2020-10-25-03:44:10, Temp: 82.4 F, Humidity: 48%
2020-10-25-03:48:12, Temp: 82.4 F, Humidity: 47%
2020-10-25-03:53:13, Temp: 82.4 F, Humidity: 47%
2020-10-25-03:59:16, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:01:16, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:03:17, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:04:18, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:05:18, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:07:19, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:13:21, Temp: 82.4 F, Humidity: 47%
2020-10-25-04:17:23, Temp: 82.4 F, Humidity: 47%
2020-10-25-04:19:23, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:20:24, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:21:24, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:25:26, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:30:27, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:34:29, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:37:30, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:40:31, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:42:32, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:44:33, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:48:34, Temp: 82.4 F, Humidity: 47%
2020-10-25-04:49:35, Temp: 82.4 F, Humidity: 47%
2020-10-25-04:50:35, Temp: 82.4 F, Humidity: 47%
2020-10-25-04:58:38, Temp: 82.4 F, Humidity: 48%
2020-10-25-04:59:38, Temp: 82.4 F, Humidity: 48%
2020-10-25-05:01:39, Temp: 82.4 F, Humidity: 48%
2020-10-25-05:02:39, Temp: 82.4 F, Humidity: 48%
