2020-11-08-00:01:44, Temp: 80.6 F, Humidity: 61%
2020-11-08-00:04:46, Temp: 80.6 F, Humidity: 61%
Initialized logging script at 2020-11-08-00:05:29
2020-11-08-00:05:40, Temp: 80.6 F, Humidity: 61%
2020-11-08-00:07:55, Temp: 80.6 F, Humidity: 61%
2020-11-08-00:11:57, Temp: 80.6 F, Humidity: 61%
2020-11-08-00:15:59, Temp: 80.6 F, Humidity: 60%
2020-11-08-00:16:59, Temp: 80.6 F, Humidity: 60%
2020-11-08-00:21:01, Temp: 80.6 F, Humidity: 60%
2020-11-08-00:22:01, Temp: 80.6 F, Humidity: 60%
2020-11-08-00:23:01, Temp: 80.6 F, Humidity: 60%
2020-11-08-00:31:04, Temp: 80.6 F, Humidity: 61%
2020-11-08-00:44:09, Temp: 80.6 F, Humidity: 60%
2020-11-08-00:46:10, Temp: 80.6 F, Humidity: 60%
2020-11-08-00:47:10, Temp: 80.6 F, Humidity: 60%
2020-11-08-00:48:11, Temp: 80.6 F, Humidity: 60%
2020-11-08-00:52:12, Temp: 80.6 F, Humidity: 61%
2020-11-08-00:58:14, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:01:15, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:04:16, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:06:17, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:09:18, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:15:21, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:16:21, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:17:21, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:19:22, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:23:24, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:28:25, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:30:26, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:32:27, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:34:28, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:36:28, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:38:29, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:40:30, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:41:30, Temp: 80.6 F, Humidity: 60%
2020-11-08-01:42:31, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:46:32, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:49:33, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:51:34, Temp: 80.6 F, Humidity: 61%
2020-11-08-01:52:34, Temp: 80.6 F, Humidity: 61%
2020-11-08-02:00:37, Temp: 80.6 F, Humidity: 60%
2020-11-08-02:01:38, Temp: 80.6 F, Humidity: 60%
2020-11-08-02:05:39, Temp: 80.6 F, Humidity: 60%
2020-11-08-02:07:40, Temp: 80.6 F, Humidity: 60%
2020-11-08-02:09:41, Temp: 80.6 F, Humidity: 61%
2020-11-08-02:10:41, Temp: 80.6 F, Humidity: 61%
2020-11-08-02:12:42, Temp: 80.6 F, Humidity: 61%
2020-11-08-02:15:43, Temp: 80.6 F, Humidity: 61%
2020-11-08-02:24:46, Temp: 80.6 F, Humidity: 60%
2020-11-08-02:25:47, Temp: 80.6 F, Humidity: 60%
2020-11-08-02:32:49, Temp: 80.6 F, Humidity: 60%
2020-11-08-02:33:50, Temp: 80.6 F, Humidity: 60%
2020-11-08-02:35:50, Temp: 80.6 F, Humidity: 61%
2020-11-08-02:37:51, Temp: 80.6 F, Humidity: 61%
2020-11-08-02:39:52, Temp: 80.6 F, Humidity: 61%
2020-11-08-02:42:53, Temp: 80.6 F, Humidity: 61%
2020-11-08-02:47:55, Temp: 80.6 F, Humidity: 61%
2020-11-08-03:04:00, Temp: 80.6 F, Humidity: 60%
2020-11-08-03:05:00, Temp: 80.6 F, Humidity: 60%
2020-11-08-03:07:01, Temp: 80.6 F, Humidity: 60%
2020-11-08-03:08:01, Temp: 80.6 F, Humidity: 60%
2020-11-08-03:18:05, Temp: 80.6 F, Humidity: 60%
2020-11-08-03:20:06, Temp: 80.6 F, Humidity: 60%
2020-11-08-03:27:08, Temp: 80.6 F, Humidity: 60%
2020-11-08-03:34:11, Temp: 80.6 F, Humidity: 60%
2020-11-08-03:37:12, Temp: 80.6 F, Humidity: 61%
2020-11-08-03:40:13, Temp: 80.6 F, Humidity: 60%
