2020-11-11-00:01:35, Temp: 86.0 F, Humidity: 57%
2020-11-11-00:02:35, Temp: 86.0 F, Humidity: 57%
2020-11-11-00:03:36, Temp: 86.0 F, Humidity: 57%
Initialized logging script at 2020-11-11-00:05:28
2020-11-11-00:05:39, Temp: 86.0 F, Humidity: 57%
2020-11-11-00:06:26, Temp: 86.0 F, Humidity: 57%
2020-11-11-00:07:27, Temp: 86.0 F, Humidity: 57%
2020-11-11-00:09:28, Temp: 86.0 F, Humidity: 57%
2020-11-11-00:17:30, Temp: 84.2 F, Humidity: 57%
2020-11-11-00:19:31, Temp: 86.0 F, Humidity: 57%
2020-11-11-00:22:32, Temp: 86.0 F, Humidity: 56%
2020-11-11-00:24:33, Temp: 86.0 F, Humidity: 56%
2020-11-11-00:26:34, Temp: 86.0 F, Humidity: 56%
2020-11-11-00:28:35, Temp: 84.2 F, Humidity: 56%
2020-11-11-00:29:35, Temp: 86.0 F, Humidity: 57%
2020-11-11-00:34:37, Temp: 86.0 F, Humidity: 56%
2020-11-11-00:39:39, Temp: 84.2 F, Humidity: 56%
2020-11-11-00:44:40, Temp: 86.0 F, Humidity: 56%
2020-11-11-00:47:41, Temp: 84.2 F, Humidity: 56%
2020-11-11-00:49:42, Temp: 84.2 F, Humidity: 56%
2020-11-11-00:51:43, Temp: 86.0 F, Humidity: 56%
2020-11-11-00:52:43, Temp: 86.0 F, Humidity: 56%
2020-11-11-00:55:44, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:00:46, Temp: 86.0 F, Humidity: 56%
2020-11-11-01:04:48, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:05:48, Temp: 86.0 F, Humidity: 56%
2020-11-11-01:06:48, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:08:49, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:09:50, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:10:50, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:11:50, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:14:51, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:16:52, Temp: 86.0 F, Humidity: 56%
2020-11-11-01:22:54, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:23:55, Temp: 84.2 F, Humidity: 56%
2020-11-11-01:28:57, Temp: 84.2 F, Humidity: 55%
2020-11-11-01:29:57, Temp: 84.2 F, Humidity: 55%
2020-11-11-01:30:57, Temp: 84.2 F, Humidity: 55%
2020-11-11-01:31:58, Temp: 86.0 F, Humidity: 56%
2020-11-11-01:32:58, Temp: 84.2 F, Humidity: 55%
2020-11-11-01:33:59, Temp: 84.2 F, Humidity: 55%
2020-11-11-01:38:00, Temp: 84.2 F, Humidity: 55%
2020-11-11-01:42:01, Temp: 84.2 F, Humidity: 55%
2020-11-11-01:46:03, Temp: 84.2 F, Humidity: 55%
2020-11-11-01:48:04, Temp: 84.2 F, Humidity: 55%
2020-11-11-01:51:05, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:06:10, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:10:12, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:14:13, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:15:13, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:20:15, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:24:17, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:31:19, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:33:20, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:34:20, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:42:23, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:43:24, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:50:26, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:52:27, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:53:27, Temp: 84.2 F, Humidity: 55%
2020-11-11-02:54:28, Temp: 84.2 F, Humidity: 55%
2020-11-11-03:00:30, Temp: 84.2 F, Humidity: 55%
2020-11-11-03:02:31, Temp: 84.2 F, Humidity: 55%
2020-11-11-03:05:32, Temp: 84.2 F, Humidity: 55%
2020-11-11-03:07:32, Temp: 84.2 F, Humidity: 55%
2020-11-11-03:10:34, Temp: 84.2 F, Humidity: 55%
2020-11-11-03:11:34, Temp: 84.2 F, Humidity: 55%
2020-11-11-03:17:36, Temp: 84.2 F, Humidity: 55%
2020-11-11-03:19:37, Temp: 84.2 F, Humidity: 55%
