2020-11-27-00:04:07, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:06:07, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:09:08, Temp: 80.6 F, Humidity: 59%
2020-11-27-00:10:09, Temp: 80.6 F, Humidity: 59%
2020-11-27-00:12:10, Temp: 80.6 F, Humidity: 59%
2020-11-27-00:13:10, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:16:11, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:18:12, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:25:14, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:29:16, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:36:18, Temp: 80.6 F, Humidity: 59%
2020-11-27-00:38:19, Temp: 80.6 F, Humidity: 59%
2020-11-27-00:41:20, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-00:44:21, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-00:45:21, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:46:22, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-00:49:23, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-00:50:23, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:52:24, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:54:25, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:55:25, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:58:26, Temp: 80.6 F, Humidity: 58%
2020-11-27-00:59:27, Temp: 80.6 F, Humidity: 58%
2020-11-27-01:00:27, Temp: 80.6 F, Humidity: 58%
2020-11-27-01:03:28, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-01:06:29, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-01:11:31, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-01:13:32, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:15:33, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:17:33, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:18:34, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:20:34, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:22:35, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:28:37, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-01:29:38, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-01:32:39, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-01:34:39, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:39:41, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:43:43, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:45:43, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:49:45, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:53:46, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-01:54:47, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:55:47, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-01:56:47, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-27-01:58:48, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-01:59:49, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:00:49, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:04:50, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:12:53, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:14:54, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:17:55, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:20:56, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:21:57, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:23:57, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:25:58, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:27:59, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:35:01, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:37:02, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:47:06, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:49:06, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:50:07, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:51:07, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:52:07, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:56:09, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-02:58:10, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:03:11, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:06:13, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:10:14, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:12:15, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:13:15, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:19:17, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:20:18, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:23:19, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:24:19, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-03:25:20, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:27:20, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-03:28:21, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:31:22, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:35:23, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:37:24, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-03:46:27, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:55:31, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:56:31, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:57:31, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:58:32, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-03:59:32, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:05:34, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:06:35, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:09:36, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:18:39, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:20:40, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:22:40, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:28:43, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:29:43, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:32:44, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:34:45, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:38:46, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:39:47, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:40:47, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:41:47, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:44:49, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:45:49, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:46:49, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:50:51, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:51:51, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-04:52:52, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:54:52, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-04:59:54, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-05:00:55, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:01:55, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:03:56, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:04:56, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:08:57, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-05:09:58, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:13:59, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-05:15:00, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-05:17:00, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:23:03, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-05:24:03, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:25:03, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:26:04, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:37:07, Temp: 80.6 F, Humidity: 55%
2020-11-27-05:43:09, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:52:13, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-05:55:14, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-05:57:14, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-05:59:15, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-06:02:16, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:08:19, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:10:19, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:14:21, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:23:24, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:28:26, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:29:26, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:32:27, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:35:28, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-06:36:29, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-06:38:30, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:40:30, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-06:41:31, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:43:31, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:44:32, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:47:33, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-06:50:34, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-06:55:36, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-06:56:36, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-07:01:38, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-07:02:38, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:08:40, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:09:41, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:11:42, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:16:43, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-07:18:44, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-07:21:45, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:28:48, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:30:48, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-07:32:50, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-07:34:50, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:40:53, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:43:54, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:44:54, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:45:55, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:49:56, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-07:51:57, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-07:54:58, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-07:55:58, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-07:58:59, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:08:03, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-08:10:03, Temp: 78.80000000000001 F, Humidity: 57%
2020-11-27-08:11:04, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:17:06, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:23:08, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:24:08, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:25:09, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:27:10, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:33:12, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:34:12, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:35:13, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:36:13, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:37:13, Temp: 78.80000000000001 F, Humidity: 58%
2020-11-27-08:38:14, Temp: 78.80000000000001 F, Humidity: 58%
