Initialized logging script at 2020-11-22-00:05:29
2020-11-22-00:05:46, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:10:03, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:12:04, Temp: 75.2 F, Humidity: 59%
2020-11-22-00:13:04, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:15:05, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:16:05, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:22:07, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:23:08, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:27:09, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:28:10, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:29:10, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:30:10, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:31:11, Temp: 77.0 F, Humidity: 58%
2020-11-22-00:33:11, Temp: 75.2 F, Humidity: 59%
2020-11-22-00:36:13, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:38:13, Temp: 77.0 F, Humidity: 58%
2020-11-22-00:42:15, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:46:16, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:48:17, Temp: 75.2 F, Humidity: 59%
2020-11-22-00:50:18, Temp: 75.2 F, Humidity: 59%
2020-11-22-00:52:18, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:54:19, Temp: 77.0 F, Humidity: 59%
2020-11-22-00:59:21, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:00:21, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:02:22, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:07:24, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:09:25, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:11:26, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:15:27, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:19:28, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:22:30, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:27:31, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:28:32, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:30:33, Temp: 77.0 F, Humidity: 58%
2020-11-22-01:37:35, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:38:36, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:40:36, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:44:38, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:47:39, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:49:40, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:51:40, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:52:41, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:53:41, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:55:42, Temp: 77.0 F, Humidity: 59%
2020-11-22-01:57:43, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:00:44, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:04:45, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:05:46, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:15:49, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:17:50, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:20:51, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:21:52, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:22:52, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:25:53, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:30:55, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:34:56, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:37:58, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:50:02, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:54:04, Temp: 77.0 F, Humidity: 59%
2020-11-22-02:56:04, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:01:06, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:02:06, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:05:08, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:11:10, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:20:13, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:23:14, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:24:15, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:25:15, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:26:15, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:30:17, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:36:19, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:40:21, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:42:21, Temp: 75.2 F, Humidity: 59%
2020-11-22-03:44:22, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:50:24, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:51:25, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:53:25, Temp: 77.0 F, Humidity: 59%
2020-11-22-03:58:27, Temp: 77.0 F, Humidity: 59%
2020-11-22-04:01:28, Temp: 77.0 F, Humidity: 59%
2020-11-22-04:05:30, Temp: 77.0 F, Humidity: 59%
2020-11-22-04:06:30, Temp: 77.0 F, Humidity: 59%
2020-11-22-04:10:32, Temp: 77.0 F, Humidity: 59%
2020-11-22-04:12:32, Temp: 77.0 F, Humidity: 59%
2020-11-22-04:15:34, Temp: 75.2 F, Humidity: 59%
2020-11-22-04:16:34, Temp: 77.0 F, Humidity: 59%
