2020-11-12-00:03:13, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:04:14, Temp: 84.2 F, Humidity: 53%
Initialized logging script at 2020-11-12-00:05:28
2020-11-12-00:05:34, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:06:50, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:07:51, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:32:59, Temp: 86.0 F, Humidity: 52%
2020-11-12-00:39:01, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:42:02, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:44:03, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:45:04, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:46:04, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:48:05, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:50:05, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:57:08, Temp: 84.2 F, Humidity: 53%
2020-11-12-00:58:08, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:00:09, Temp: 84.2 F, Humidity: 52%
2020-11-12-01:01:10, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:03:10, Temp: 84.2 F, Humidity: 52%
2020-11-12-01:04:11, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:14:14, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:16:15, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:17:15, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:19:16, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:21:17, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:23:18, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:30:20, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:33:21, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:43:25, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:44:25, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:45:26, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:51:28, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:53:28, Temp: 84.2 F, Humidity: 53%
2020-11-12-01:55:29, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:00:31, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:04:32, Temp: 84.2 F, Humidity: 52%
2020-11-12-02:06:33, Temp: 84.2 F, Humidity: 52%
2020-11-12-02:14:36, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:15:37, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:16:37, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:17:37, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:21:39, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:23:39, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:25:40, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:27:41, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:33:43, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:39:45, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:40:46, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:45:48, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:52:50, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:53:50, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:54:51, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:55:51, Temp: 84.2 F, Humidity: 53%
2020-11-12-02:56:52, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:02:54, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:09:56, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:13:58, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:16:59, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:17:59, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:19:00, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:20:00, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:21:01, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:22:01, Temp: 84.2 F, Humidity: 52%
2020-11-12-03:24:02, Temp: 84.2 F, Humidity: 52%
2020-11-12-03:27:03, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:28:03, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:31:04, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:34:05, Temp: 84.2 F, Humidity: 54%
2020-11-12-03:35:06, Temp: 84.2 F, Humidity: 54%
2020-11-12-03:43:09, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:49:11, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:51:12, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:56:14, Temp: 84.2 F, Humidity: 53%
2020-11-12-03:59:15, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:02:16, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:04:17, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:08:18, Temp: 84.2 F, Humidity: 52%
2020-11-12-04:09:18, Temp: 84.2 F, Humidity: 52%
2020-11-12-04:10:19, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:11:19, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:15:21, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:16:21, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:25:24, Temp: 84.2 F, Humidity: 54%
2020-11-12-04:31:27, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:39:30, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:41:30, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:42:31, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:43:31, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:54:35, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:55:35, Temp: 84.2 F, Humidity: 53%
2020-11-12-04:57:36, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:03:38, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:05:39, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:13:42, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:14:42, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:16:43, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:23:46, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:25:46, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:28:48, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:32:49, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:34:50, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:35:50, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:36:51, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:37:51, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:38:51, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:39:52, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:42:53, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:44:54, Temp: 84.2 F, Humidity: 53%
2020-11-12-05:51:56, Temp: 84.2 F, Humidity: 53%
