Initialized logging script at 2020-10-30-00:05:29
2020-10-30-00:06:30, Temp: 86.0 F, Humidity: 54%
2020-10-30-00:08:31, Temp: 86.0 F, Humidity: 55%
2020-10-30-00:13:33, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:14:33, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:15:33, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:21:36, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:22:36, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:29:39, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:30:39, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:35:41, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:37:42, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:39:42, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:41:43, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:43:44, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:45:45, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:48:46, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:51:47, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:53:48, Temp: 86.0 F, Humidity: 56%
2020-10-30-00:55:48, Temp: 86.0 F, Humidity: 56%
2020-10-30-01:00:50, Temp: 86.0 F, Humidity: 55%
2020-10-30-01:01:51, Temp: 86.0 F, Humidity: 56%
2020-10-30-01:05:52, Temp: 86.0 F, Humidity: 55%
2020-10-30-01:06:53, Temp: 86.0 F, Humidity: 55%
2020-10-30-01:11:54, Temp: 86.0 F, Humidity: 55%
2020-10-30-01:12:55, Temp: 86.0 F, Humidity: 55%
2020-10-30-01:13:55, Temp: 86.0 F, Humidity: 55%
2020-10-30-01:15:56, Temp: 84.2 F, Humidity: 55%
2020-10-30-01:16:56, Temp: 84.2 F, Humidity: 55%
2020-10-30-01:18:57, Temp: 84.2 F, Humidity: 55%
2020-10-30-01:19:57, Temp: 86.0 F, Humidity: 55%
2020-10-30-01:20:58, Temp: 86.0 F, Humidity: 55%
2020-10-30-01:30:01, Temp: 84.2 F, Humidity: 54%
2020-10-30-01:33:02, Temp: 84.2 F, Humidity: 54%
2020-10-30-01:34:02, Temp: 84.2 F, Humidity: 54%
2020-10-30-01:35:03, Temp: 84.2 F, Humidity: 54%
2020-10-30-01:39:04, Temp: 84.2 F, Humidity: 54%
2020-10-30-01:40:05, Temp: 84.2 F, Humidity: 54%
2020-10-30-01:42:05, Temp: 84.2 F, Humidity: 54%
2020-10-30-01:43:06, Temp: 84.2 F, Humidity: 54%
2020-10-30-01:45:06, Temp: 84.2 F, Humidity: 54%
2020-10-30-01:46:07, Temp: 84.2 F, Humidity: 53%
2020-10-30-01:51:09, Temp: 84.2 F, Humidity: 53%
2020-10-30-01:55:10, Temp: 84.2 F, Humidity: 53%
2020-10-30-02:03:13, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:07:15, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:08:15, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:09:15, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:12:16, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:14:17, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:15:18, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:18:19, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:22:20, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:24:21, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:25:21, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:27:22, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:30:23, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:31:23, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:32:24, Temp: 84.2 F, Humidity: 51%
2020-10-30-02:34:25, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:35:25, Temp: 84.2 F, Humidity: 52%
2020-10-30-02:37:26, Temp: 84.2 F, Humidity: 51%
2020-10-30-02:40:27, Temp: 84.2 F, Humidity: 51%
