2020-10-31-00:01:18, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:02:18, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:03:18, Temp: 77.0 F, Humidity: 43%
Initialized logging script at 2020-10-31-00:05:29
2020-10-31-00:05:36, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:07:05, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:18:09, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:22:11, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:23:11, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:28:13, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:33:15, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:35:16, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:41:18, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:46:20, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:49:21, Temp: 77.0 F, Humidity: 43%
2020-10-31-00:53:22, Temp: 77.0 F, Humidity: 43%
2020-10-31-01:01:25, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:04:27, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:08:28, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:10:29, Temp: 77.0 F, Humidity: 43%
2020-10-31-01:12:30, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:14:30, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:17:31, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:23:34, Temp: 77.0 F, Humidity: 43%
2020-10-31-01:25:34, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:27:35, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:29:36, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:31:36, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:36:38, Temp: 77.0 F, Humidity: 43%
2020-10-31-01:37:39, Temp: 77.0 F, Humidity: 43%
2020-10-31-01:44:41, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:49:43, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:53:44, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:54:45, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:55:45, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:56:46, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:57:46, Temp: 77.0 F, Humidity: 44%
2020-10-31-01:58:46, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:01:47, Temp: 77.0 F, Humidity: 43%
2020-10-31-02:02:48, Temp: 77.0 F, Humidity: 43%
2020-10-31-02:03:48, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:04:49, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:09:50, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:14:52, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:15:53, Temp: 77.0 F, Humidity: 43%
2020-10-31-02:17:53, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:19:54, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:20:54, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:22:55, Temp: 77.0 F, Humidity: 43%
2020-10-31-02:25:56, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:30:58, Temp: 77.0 F, Humidity: 43%
2020-10-31-02:32:59, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:35:00, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:45:03, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:46:04, Temp: 77.0 F, Humidity: 43%
2020-10-31-02:48:04, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:54:07, Temp: 77.0 F, Humidity: 44%
2020-10-31-02:56:07, Temp: 77.0 F, Humidity: 43%
2020-10-31-02:57:08, Temp: 77.0 F, Humidity: 43%
2020-10-31-02:58:08, Temp: 77.0 F, Humidity: 44%
2020-10-31-03:02:10, Temp: 77.0 F, Humidity: 44%
2020-10-31-03:03:10, Temp: 77.0 F, Humidity: 44%
2020-10-31-03:08:12, Temp: 77.0 F, Humidity: 43%
2020-10-31-03:09:12, Temp: 77.0 F, Humidity: 43%
2020-10-31-03:16:15, Temp: 77.0 F, Humidity: 44%
2020-10-31-03:21:17, Temp: 77.0 F, Humidity: 44%
2020-10-31-03:27:19, Temp: 77.0 F, Humidity: 44%
2020-10-31-03:29:20, Temp: 77.0 F, Humidity: 44%
2020-10-31-03:37:23, Temp: 77.0 F, Humidity: 43%
2020-10-31-03:38:23, Temp: 77.0 F, Humidity: 43%
2020-10-31-03:40:24, Temp: 77.0 F, Humidity: 44%
2020-10-31-03:41:24, Temp: 77.0 F, Humidity: 44%
2020-10-31-03:44:25, Temp: 77.0 F, Humidity: 44%
