2020-11-02-00:00:08, Temp: 78.80000000000001 F, Humidity: 51%
2020-11-02-00:01:09, Temp: 78.80000000000001 F, Humidity: 51%
2020-11-02-00:02:09, Temp: 77.0 F, Humidity: 50%
2020-11-02-00:04:10, Temp: 78.80000000000001 F, Humidity: 51%
Initialized logging script at 2020-11-02-00:05:29
2020-11-02-00:06:25, Temp: 78.80000000000001 F, Humidity: 50%
2020-11-02-00:10:26, Temp: 78.80000000000001 F, Humidity: 51%
2020-11-02-00:11:27, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:12:27, Temp: 78.80000000000001 F, Humidity: 50%
2020-11-02-00:13:27, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:14:28, Temp: 77.0 F, Humidity: 50%
2020-11-02-00:18:29, Temp: 77.0 F, Humidity: 50%
2020-11-02-00:20:30, Temp: 77.0 F, Humidity: 50%
2020-11-02-00:22:31, Temp: 78.80000000000001 F, Humidity: 50%
2020-11-02-00:24:31, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:25:32, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:27:33, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:30:34, Temp: 77.0 F, Humidity: 50%
2020-11-02-00:33:35, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:35:36, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:41:38, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:43:38, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:45:39, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:47:40, Temp: 77.0 F, Humidity: 49%
2020-11-02-00:54:42, Temp: 77.0 F, Humidity: 49%
2020-11-02-01:04:46, Temp: 77.0 F, Humidity: 49%
2020-11-02-01:08:47, Temp: 77.0 F, Humidity: 49%
2020-11-02-01:13:50, Temp: 77.0 F, Humidity: 49%
2020-11-02-01:17:51, Temp: 77.0 F, Humidity: 49%
2020-11-02-01:20:52, Temp: 77.0 F, Humidity: 49%
2020-11-02-01:21:53, Temp: 77.0 F, Humidity: 49%
2020-11-02-01:26:55, Temp: 77.0 F, Humidity: 49%
2020-11-02-01:27:55, Temp: 77.0 F, Humidity: 48%
2020-11-02-01:28:55, Temp: 77.0 F, Humidity: 48%
2020-11-02-01:36:58, Temp: 77.0 F, Humidity: 48%
2020-11-02-01:43:00, Temp: 77.0 F, Humidity: 48%
2020-11-02-01:45:01, Temp: 77.0 F, Humidity: 48%
