2020-11-10-00:00:41, Temp: 84.2 F, Humidity: 53%
2020-11-10-00:02:42, Temp: 84.2 F, Humidity: 53%
2020-11-10-00:03:42, Temp: 82.4 F, Humidity: 52%
2020-11-10-00:04:43, Temp: 82.4 F, Humidity: 52%
Initialized logging script at 2020-11-10-00:05:28
2020-11-10-00:06:50, Temp: 84.2 F, Humidity: 51%
2020-11-10-00:08:51, Temp: 84.2 F, Humidity: 52%
2020-11-10-00:10:52, Temp: 82.4 F, Humidity: 51%
2020-11-10-00:11:52, Temp: 82.4 F, Humidity: 52%
2020-11-10-00:14:53, Temp: 82.4 F, Humidity: 52%
2020-11-10-00:18:55, Temp: 82.4 F, Humidity: 52%
2020-11-10-00:23:57, Temp: 82.4 F, Humidity: 51%
2020-11-10-00:27:58, Temp: 82.4 F, Humidity: 51%
2020-11-10-00:29:59, Temp: 82.4 F, Humidity: 51%
2020-11-10-00:32:00, Temp: 84.2 F, Humidity: 52%
2020-11-10-00:34:00, Temp: 84.2 F, Humidity: 52%
2020-11-10-00:36:01, Temp: 82.4 F, Humidity: 51%
2020-11-10-00:41:03, Temp: 84.2 F, Humidity: 53%
2020-11-10-00:43:04, Temp: 84.2 F, Humidity: 53%
2020-11-10-00:45:04, Temp: 82.4 F, Humidity: 51%
2020-11-10-00:51:06, Temp: 82.4 F, Humidity: 51%
2020-11-10-00:55:08, Temp: 82.4 F, Humidity: 51%
2020-11-10-00:59:09, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:02:10, Temp: 82.4 F, Humidity: 52%
2020-11-10-01:04:11, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:08:13, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:10:13, Temp: 84.2 F, Humidity: 52%
2020-11-10-01:16:16, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:17:16, Temp: 84.2 F, Humidity: 52%
2020-11-10-01:19:17, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:20:17, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:22:18, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:25:19, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:27:20, Temp: 84.2 F, Humidity: 52%
2020-11-10-01:29:20, Temp: 84.2 F, Humidity: 52%
2020-11-10-01:37:23, Temp: 84.2 F, Humidity: 52%
2020-11-10-01:42:25, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:44:26, Temp: 82.4 F, Humidity: 51%
2020-11-10-01:49:28, Temp: 84.2 F, Humidity: 52%
2020-11-10-02:00:32, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:04:33, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:11:36, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:15:37, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:21:40, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:26:41, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:28:42, Temp: 84.2 F, Humidity: 52%
2020-11-10-02:33:44, Temp: 84.2 F, Humidity: 52%
2020-11-10-02:40:47, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:44:48, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:46:49, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:47:49, Temp: 84.2 F, Humidity: 52%
2020-11-10-02:51:51, Temp: 82.4 F, Humidity: 51%
2020-11-10-02:53:51, Temp: 84.2 F, Humidity: 52%
