Initialized logging script at 2020-11-26-00:05:29
2020-11-26-00:06:12, Temp: 78.80000000000001 F, Humidity: 61%
2020-11-26-00:08:13, Temp: 77.0 F, Humidity: 60%
2020-11-26-00:12:14, Temp: 77.0 F, Humidity: 60%
2020-11-26-00:16:16, Temp: 77.0 F, Humidity: 59%
2020-11-26-00:17:16, Temp: 77.0 F, Humidity: 60%
2020-11-26-00:27:20, Temp: 77.0 F, Humidity: 59%
2020-11-26-00:28:20, Temp: 77.0 F, Humidity: 59%
2020-11-26-00:29:20, Temp: 77.0 F, Humidity: 59%
2020-11-26-00:30:21, Temp: 77.0 F, Humidity: 59%
2020-11-26-00:37:23, Temp: 77.0 F, Humidity: 58%
2020-11-26-00:38:24, Temp: 77.0 F, Humidity: 58%
2020-11-26-00:42:25, Temp: 77.0 F, Humidity: 58%
2020-11-26-00:43:26, Temp: 77.0 F, Humidity: 58%
2020-11-26-00:46:27, Temp: 78.80000000000001 F, Humidity: 59%
2020-11-26-00:47:27, Temp: 77.0 F, Humidity: 58%
Initialized logging script at 2020-11-26-00:48:34
2020-11-26-16:54:30, Temp: 80.6 F, Humidity: 63%
2020-11-26-16:56:31, Temp: 78.80000000000001 F, Humidity: 65%
2020-11-26-16:58:32, Temp: 78.80000000000001 F, Humidity: 65%
2020-11-26-16:59:32, Temp: 78.80000000000001 F, Humidity: 65%
2020-11-26-17:01:33, Temp: 78.80000000000001 F, Humidity: 65%
2020-11-26-17:03:33, Temp: 80.6 F, Humidity: 65%
2020-11-26-17:05:34, Temp: 80.6 F, Humidity: 63%
2020-11-26-17:07:35, Temp: 80.6 F, Humidity: 63%
2020-11-26-17:10:36, Temp: 80.6 F, Humidity: 62%
2020-11-26-17:11:36, Temp: 80.6 F, Humidity: 62%
2020-11-26-17:12:37, Temp: 80.6 F, Humidity: 62%
2020-11-26-17:13:37, Temp: 80.6 F, Humidity: 61%
2020-11-26-17:19:39, Temp: 80.6 F, Humidity: 61%
2020-11-26-17:21:40, Temp: 80.6 F, Humidity: 61%
2020-11-26-17:22:40, Temp: 80.6 F, Humidity: 61%
2020-11-26-17:24:41, Temp: 80.6 F, Humidity: 61%
2020-11-26-17:27:42, Temp: 80.6 F, Humidity: 62%
2020-11-26-17:30:43, Temp: 78.80000000000001 F, Humidity: 62%
2020-11-26-17:41:47, Temp: 78.80000000000001 F, Humidity: 62%
2020-11-26-17:43:48, Temp: 78.80000000000001 F, Humidity: 62%
2020-11-26-17:49:50, Temp: 78.80000000000001 F, Humidity: 61%
2020-11-26-17:54:52, Temp: 78.80000000000001 F, Humidity: 62%
2020-11-26-17:55:53, Temp: 78.80000000000001 F, Humidity: 62%
2020-11-26-18:01:55, Temp: 78.80000000000001 F, Humidity: 62%
