2020-11-14-00:03:45, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:04:45, Temp: 82.4 F, Humidity: 53%
Initialized logging script at 2020-11-14-00:05:29
2020-11-14-00:05:41, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:07:56, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:08:57, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:15:59, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:18:00, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:26:03, Temp: 82.4 F, Humidity: 52%
2020-11-14-00:28:04, Temp: 82.4 F, Humidity: 52%
2020-11-14-00:31:05, Temp: 82.4 F, Humidity: 52%
2020-11-14-00:32:05, Temp: 82.4 F, Humidity: 52%
2020-11-14-00:36:07, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:37:07, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:38:07, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:39:08, Temp: 80.6 F, Humidity: 52%
2020-11-14-00:41:08, Temp: 80.6 F, Humidity: 53%
2020-11-14-00:43:09, Temp: 80.6 F, Humidity: 52%
2020-11-14-00:48:11, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:50:12, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:52:13, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:54:13, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:55:14, Temp: 82.4 F, Humidity: 53%
2020-11-14-00:58:15, Temp: 82.4 F, Humidity: 52%
2020-11-14-01:04:17, Temp: 82.4 F, Humidity: 52%
2020-11-14-01:08:19, Temp: 82.4 F, Humidity: 52%
2020-11-14-01:11:20, Temp: 82.4 F, Humidity: 52%
2020-11-14-01:13:20, Temp: 82.4 F, Humidity: 52%
2020-11-14-01:15:21, Temp: 82.4 F, Humidity: 52%
2020-11-14-01:17:22, Temp: 82.4 F, Humidity: 53%
