2020-11-15-00:01:44, Temp: 80.6 F, Humidity: 58%
Initialized logging script at 2020-11-15-00:05:28
2020-11-15-00:06:50, Temp: 82.4 F, Humidity: 58%
2020-11-15-00:07:50, Temp: 82.4 F, Humidity: 58%
2020-11-15-00:08:51, Temp: 82.4 F, Humidity: 59%
2020-11-15-00:15:53, Temp: 80.6 F, Humidity: 58%
2020-11-15-00:17:54, Temp: 80.6 F, Humidity: 59%
2020-11-15-00:34:00, Temp: 80.6 F, Humidity: 59%
2020-11-15-00:37:01, Temp: 80.6 F, Humidity: 58%
2020-11-15-00:43:04, Temp: 82.4 F, Humidity: 58%
2020-11-15-00:45:04, Temp: 80.6 F, Humidity: 57%
2020-11-15-00:46:05, Temp: 80.6 F, Humidity: 57%
2020-11-15-00:47:05, Temp: 80.6 F, Humidity: 57%
2020-11-15-00:48:05, Temp: 82.4 F, Humidity: 58%
2020-11-15-00:49:06, Temp: 82.4 F, Humidity: 57%
2020-11-15-00:51:07, Temp: 82.4 F, Humidity: 57%
2020-11-15-00:53:07, Temp: 82.4 F, Humidity: 57%
2020-11-15-01:01:10, Temp: 80.6 F, Humidity: 56%
2020-11-15-01:05:12, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:07:13, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:08:13, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:09:13, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:10:14, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:13:15, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:14:15, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:18:17, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:22:18, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:25:19, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:29:21, Temp: 82.4 F, Humidity: 55%
2020-11-15-01:31:21, Temp: 82.4 F, Humidity: 55%
2020-11-15-01:33:22, Temp: 82.4 F, Humidity: 55%
2020-11-15-01:38:24, Temp: 82.4 F, Humidity: 55%
2020-11-15-01:41:25, Temp: 82.4 F, Humidity: 56%
2020-11-15-01:46:27, Temp: 82.4 F, Humidity: 57%
2020-11-15-01:48:28, Temp: 80.6 F, Humidity: 56%
2020-11-15-01:49:28, Temp: 80.6 F, Humidity: 55%
2020-11-15-01:52:29, Temp: 82.4 F, Humidity: 56%
2020-11-15-02:02:33, Temp: 82.4 F, Humidity: 56%
2020-11-15-02:04:33, Temp: 82.4 F, Humidity: 55%
2020-11-15-02:09:35, Temp: 82.4 F, Humidity: 55%
2020-11-15-02:13:37, Temp: 82.4 F, Humidity: 55%
2020-11-15-02:27:42, Temp: 82.4 F, Humidity: 56%
2020-11-15-02:28:42, Temp: 82.4 F, Humidity: 56%
2020-11-15-02:32:44, Temp: 82.4 F, Humidity: 56%
2020-11-15-02:34:45, Temp: 82.4 F, Humidity: 56%
2020-11-15-02:38:46, Temp: 82.4 F, Humidity: 55%
2020-11-15-02:39:46, Temp: 82.4 F, Humidity: 56%
2020-11-15-02:47:49, Temp: 82.4 F, Humidity: 55%
2020-11-15-02:48:50, Temp: 82.4 F, Humidity: 55%
2020-11-15-02:50:51, Temp: 82.4 F, Humidity: 55%
2020-11-15-02:51:51, Temp: 82.4 F, Humidity: 56%
2020-11-15-02:55:52, Temp: 82.4 F, Humidity: 56%
2020-11-15-02:57:53, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:04:56, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:06:56, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:08:57, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:17:00, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:19:01, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:22:02, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:26:03, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:31:05, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:33:06, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:38:08, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:40:09, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:46:11, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:48:12, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:50:12, Temp: 82.4 F, Humidity: 56%
2020-11-15-03:53:13, Temp: 82.4 F, Humidity: 55%
2020-11-15-03:54:14, Temp: 82.4 F, Humidity: 55%
2020-11-15-03:59:16, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:04:17, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:05:18, Temp: 82.4 F, Humidity: 56%
2020-11-15-04:11:20, Temp: 82.4 F, Humidity: 56%
2020-11-15-04:13:21, Temp: 82.4 F, Humidity: 56%
2020-11-15-04:17:22, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:19:23, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:20:24, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:24:25, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:26:26, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:28:26, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:29:27, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:30:27, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:39:31, Temp: 82.4 F, Humidity: 56%
2020-11-15-04:48:34, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:49:34, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:50:35, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:51:35, Temp: 82.4 F, Humidity: 55%
2020-11-15-04:55:37, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:00:38, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:03:39, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:04:40, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:08:41, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:10:42, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:12:43, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:17:45, Temp: 82.4 F, Humidity: 54%
2020-11-15-05:19:45, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:22:47, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:23:47, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:25:48, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:27:48, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:28:49, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:31:50, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:33:51, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:35:51, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:37:52, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:39:53, Temp: 82.4 F, Humidity: 54%
2020-11-15-05:40:53, Temp: 82.4 F, Humidity: 54%
2020-11-15-05:43:54, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:45:55, Temp: 80.6 F, Humidity: 54%
2020-11-15-05:50:57, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:51:57, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:55:59, Temp: 82.4 F, Humidity: 55%
2020-11-15-05:59:00, Temp: 82.4 F, Humidity: 55%
2020-11-15-06:03:01, Temp: 82.4 F, Humidity: 54%
2020-11-15-06:05:02, Temp: 82.4 F, Humidity: 54%
2020-11-15-06:07:03, Temp: 82.4 F, Humidity: 55%
2020-11-15-06:13:05, Temp: 80.6 F, Humidity: 54%
2020-11-15-06:14:06, Temp: 82.4 F, Humidity: 55%
2020-11-15-06:17:07, Temp: 82.4 F, Humidity: 55%
2020-11-15-06:23:09, Temp: 82.4 F, Humidity: 54%
2020-11-15-06:24:09, Temp: 82.4 F, Humidity: 54%
2020-11-15-06:32:12, Temp: 82.4 F, Humidity: 55%
2020-11-15-06:36:14, Temp: 82.4 F, Humidity: 55%
2020-11-15-06:38:15, Temp: 80.6 F, Humidity: 54%
2020-11-15-06:40:15, Temp: 82.4 F, Humidity: 55%
2020-11-15-06:44:17, Temp: 82.4 F, Humidity: 54%
2020-11-15-06:49:19, Temp: 82.4 F, Humidity: 54%
2020-11-15-06:51:19, Temp: 82.4 F, Humidity: 54%
2020-11-15-06:53:20, Temp: 82.4 F, Humidity: 55%
2020-11-15-06:59:22, Temp: 80.6 F, Humidity: 54%
2020-11-15-07:02:23, Temp: 80.6 F, Humidity: 54%
2020-11-15-07:06:25, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:09:26, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:12:27, Temp: 80.6 F, Humidity: 53%
2020-11-15-07:13:27, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:14:28, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:15:28, Temp: 80.6 F, Humidity: 54%
2020-11-15-07:16:29, Temp: 80.6 F, Humidity: 54%
2020-11-15-07:20:30, Temp: 80.6 F, Humidity: 54%
2020-11-15-07:24:32, Temp: 80.6 F, Humidity: 53%
2020-11-15-07:26:32, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:29:33, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:31:34, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:33:35, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:40:37, Temp: 80.6 F, Humidity: 54%
2020-11-15-07:45:39, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:46:40, Temp: 80.6 F, Humidity: 53%
2020-11-15-07:53:42, Temp: 82.4 F, Humidity: 54%
2020-11-15-07:57:44, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:02:46, Temp: 80.6 F, Humidity: 53%
2020-11-15-08:04:46, Temp: 80.6 F, Humidity: 53%
2020-11-15-08:06:47, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:08:48, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:09:48, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:16:51, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:19:52, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:23:53, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:27:55, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:30:56, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:35:58, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:38:59, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:46:02, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:49:03, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:51:04, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:55:05, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:56:05, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:57:06, Temp: 82.4 F, Humidity: 54%
2020-11-15-08:59:06, Temp: 82.4 F, Humidity: 54%
2020-11-15-09:07:09, Temp: 82.4 F, Humidity: 54%
2020-11-15-09:08:10, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:12:11, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:16:13, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:17:13, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:18:13, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:23:15, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:25:16, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:29:18, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:33:19, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:34:19, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:44:23, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:46:24, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:47:24, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:49:25, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:50:25, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:51:26, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:52:26, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:55:27, Temp: 82.4 F, Humidity: 53%
2020-11-15-09:56:28, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:03:30, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:08:32, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:09:32, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:13:34, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:16:35, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:19:36, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:22:37, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:23:37, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:31:40, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:36:42, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:38:43, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:40:44, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:42:44, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:43:45, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:44:45, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:45:45, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:46:46, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:49:47, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:51:48, Temp: 82.4 F, Humidity: 53%
2020-11-15-10:54:49, Temp: 82.4 F, Humidity: 54%
2020-11-15-10:55:49, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:00:51, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:05:53, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:06:53, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:14:56, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:15:56, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:18:58, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:20:58, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:22:59, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:28:01, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:29:01, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:31:02, Temp: 82.4 F, Humidity: 54%
2020-11-15-11:33:03, Temp: 82.4 F, Humidity: 53%
