2020-11-18-00:00:39, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:01:39, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:04:40, Temp: 73.4 F, Humidity: 39%
Initialized logging script at 2020-11-18-00:05:28
2020-11-18-00:05:40, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:09:57, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:12:58, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:13:58, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:18:00, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:20:01, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:22:01, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:23:02, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:25:03, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:29:04, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:31:05, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:34:06, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:43:09, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:45:10, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:46:10, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:49:11, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:53:13, Temp: 73.4 F, Humidity: 39%
2020-11-18-00:58:15, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:06:18, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:11:20, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:12:20, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:13:20, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:17:22, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:19:23, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:29:26, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:33:28, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:35:29, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:36:29, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:37:29, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:40:30, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:42:31, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:43:32, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:45:32, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:48:33, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:49:34, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:51:35, Temp: 73.4 F, Humidity: 39%
2020-11-18-01:52:35, Temp: 73.4 F, Humidity: 39%
